douban_score,publisher,douban_votes,name,authors
8.5, 南海出版公司,380519,解忧杂货店,"[日]
            东野圭吾"
7.2, 北京联合出版公司,11252,沉睡的人鱼之家,"[日]
            东野圭吾"
9.0, 湖南文艺出版社,1757,有匪3,Priest
8.1, 中国友谊出版公司,3712,七根凶简,七根凶简
8.4, 光明日报出版社,78617,悟空传,今何在
9.6, 东方出版社,915,长白秘闻之不咸灵迹,
7.9, 新世界出版社,23731,我的前半生,"[加拿大]
            亦舒"
8.0, 上海译文出版社,229424,挪威的森林,"[日]
            村上春树"
9.2, 重庆出版社,134226,三体Ⅲ,科幻世界
8.7, 南海出版公司,96675,许三观卖血记,余华
9.2, 南海出版公司,143386,白夜行,新经典文化
9.6, 人民文学出版社,165452,红楼梦,中国古典文学读本丛书
8.8, 浙江文艺出版社,36865,月亮与六便士,大星文化
9.0, 南海出版公司,99834,霍乱时期的爱情,"[哥伦比亚]
            加西亚·马尔克斯"
8.5, 人民文学出版社,24928,我的天才女友,"[意]
            埃莱娜·费兰特"
9.1, 南海出版公司,181271,活着,余华
9.0, 人民文学出版社,18128,新名字的故事,"[意]
            埃莱娜·费兰特"
8.3, 人民文学出版社,59128,骆驼祥子,老舍
8.3, 中国友谊出版公司,90342,盗墓笔记,南派三叔
8.8, 人民文学出版社,112945,傲慢与偏见,"[英]
            简·奥斯汀"
8.4, 南海出版公司,107505,恶意,"[日]
            东野圭吾"
8.0, 广西民族出版社,69485,鲁滨逊漂流记,"[英]
            丹尼尔·笛福"
8.2, 北京十月文艺出版社,95311,穆斯林的葬礼,霍达
8.2, 上海人民出版社,153770,达·芬奇密码,"[美]
            丹·布朗"
8.2, 长江文艺出版社,99979,狼图腾,姜戎
9.0, 人民文学出版社,113098,哈利·波特与魔法石,"[英]
            J·K·罗琳"
8.7, 中国友谊出版公司,112442,明朝那些事儿（壹）,当年明月
8.4, 海南出版社,5648,漫长的告别,读客
8.2, 江苏凤凰文艺出版社,71902,无声告白,读客
8.6, 北岳文艺出版社,100475,边城,沈从文
8.8, 理想国丨九州出版社,387,4321,理想国
9.3, 北京十月文艺出版社,70681,1984,"[英]
            乔治·奥威尔"
9.3, 重庆出版社,135347,三体Ⅱ,刘慈欣
8.7, 湖北长江出版集团，长江文艺出版社,28077,流浪地球,刘慈欣科幻系列
8.3, 吉林出版集团有限责任公司,83773,人间失格,草月译谭
9.0, 人民文学出版社,142138,平凡的世界（全三部）,路遥
9.2, 南海出版公司,173586,百年孤独,"[哥伦比亚]
            加西亚·马尔克斯"
8.9, 人民文学出版社,241897,围城,钱钟书
9.2, 99读书人|人民文学出版社,10137,失踪的孩子,99读书人
8.9, 南海出版公司,227021,嫌疑人X的献身,"[日]
            东野圭吾"
9.2, 北京联合出版公司,55192,房思琪的初恋乐园,林奕含
8.8, 重庆出版社,230602,三体,刘慈欣
9.0, 人民文学出版社,320836,小王子,"[法]
            圣埃克苏佩里"
9.1, 南海出版公司,280731,白夜行,"[日]
            东野圭吾"
8.9, 上海人民出版社,398015,追风筝的人,"[美]
            卡勒德·胡赛尼"
8.9, 江苏凤凰文艺出版社,14699,世界的凛冬,"[英]
            肯·福莱特"
8.8, 作家出版社,28240,陆犯焉识,"[美]
            严歌苓"
8.3, 南海出版公司,90748,1Q84 BOOK 1,"[日]
            村上春树"
8.4, 译林出版社,33761,海底两万里,"[法]
            儒尔·凡尔纳"
8.6, 江苏凤凰文艺出版社,5105,圣殿春秋,读客
9.2, 大塊文化,2646,那不勒斯故事四部曲,"[意]
            埃莱娜·费兰特"
8.9, 湖南文艺出版社,4831,如父如子,
8.3, 人民文学出版社,57161,了不起的盖茨比,"[美]
            弗·司各特·菲茨杰拉德"
8.6, 南海出版公司,75919,牧羊少年奇幻之旅,"[巴西]
            保罗·柯艾略"
8.9, 江苏凤凰文艺出版社,1645,我们一无所有,九天译文
8.8, 花城出版社,78973,黄金时代,王小波
8.2, 武汉大学出版社,134107,天才在左 疯子在右,高铭
9.2, 人民文学出版社,71206,三国演义（全二册）,罗贯中
7.6, 江苏凤凰文艺出版社,96050,岛上书店,读客
8.5, 花城出版社,107846,倾城之恋,张爱玲
9.3, 人民文学出版社,18884,围城,
8.1, 民族出版社,40655,步步惊心,桐华
9.2, 天津人民出版社,5691,故事,
8.1, 湖岸出版/外语教学与研究出版社,17317,24个比利,"[美]
            丹尼尔·凯斯"
8.4, 北京联合出版公司,2106,寂寞的游戏,袁哲生
8.4, 华文出版社,39760,此间的少年,江南
8.6, 人民文学出版社,4771,小说课,毕飞宇
9.2, 北京联合出版公司,2273,撒野,
8.6, 长江文艺出版社,6752,乡村教师,刘慈欣
8.7, 译林出版社,403,远处的拉莫,
7.7, 南海出版公司,32242,岛,"[英]
            维多利亚·希斯洛普"
7.1, 春风文艺出版社,154154,梦里花落知多少,郭敬明
8.3, 南海出版公司,10510,新参者,"[日]
            东野圭吾"
8.7, 南海出版公司,15458,一桩事先张扬的凶杀案,"[哥伦比亚]
            加西亚·马尔克斯"
8.5, 作家出版社,9463,俗世奇人,冯骥才
9.5, 重庆出版社,3605,冰与火之歌,"[美]
            乔治·R·R·马丁"
8.6, 广西师范大学出版社,226,是梦,
8.7, 南海出版公司,12848,了不起的盖茨比,"[美]
            弗·司各特·菲茨杰拉德"
7.8, 江苏凤凰文艺出版社,6511,永恒的边缘,"[英]
            肯·福莱特"
8.0, 长江出版社,11617,龙族Ⅱ,江南
9.2, 后浪丨湖南美术出版社,859,追寻逝去的时光·第一卷：去斯万家那边,后浪
8.7, 作家出版社,10272,遥远的救世主,豆豆
8.4, 浙江文艺出版社,557,电幻国度,果麦文化
8.8, 广州出版社 花城出版社,32677,鹿鼎记（全五册）,金庸
9.1, 北京十月文艺出版社,5724,半生缘,张爱玲全集
7.4, 作家出版社,101631,三重门,
